path,reason,confidence
.eslintrc.json,not imported or referenced by text search,low
cleanup-plan.md,not imported or referenced by text search,low
components.json,not imported or referenced by text search,low
create-sample-excel.js,not imported or referenced by text search,low
next.config.mjs,not imported or referenced by text search,low
package-lock.json,not imported or referenced by text search,low
postcss.config.mjs,not imported or referenced by text search,low
README.md,not imported or referenced by text search,low
tsconfig.json,not imported or referenced by text search,low
utils/calculateOverlaps.ts,not imported or referenced by text search,low
utils/generateEmail.ts,not imported or referenced by text search,low
utils/generateReport.ts,not imported or referenced by text search,low
utils/normalizeData.ts,not imported or referenced by text search,low
utils/stringUtils.ts,not imported or referenced by text search,low
lib/excel-utils.ts,not imported or referenced by text search,low
lib/gmail-url-builder.ts,not imported or referenced by text search,low
lib/report-exporter.ts,not imported or referenced by text search,low
lib/types.ts,not imported or referenced by text search,low
lib/utils.ts,not imported or referenced by text search,low
lib/utils/groupUtils.ts,not imported or referenced by text search,low
lib/utils/mailGenerator.ts,not imported or referenced by text search,low
lib/utils/normalize.ts,not imported or referenced by text search,low
lib/utils/serialization.ts,not imported or referenced by text search,low
hooks/use-mobile.tsx,not imported or referenced by text search,low
hooks/use-toast.ts,not imported or referenced by text search,low
components/data-preview.tsx,not imported or referenced by text search,low
components/file-upload.tsx,not imported or referenced by text search,low
components/theme-provider.tsx,not imported or referenced by text search,low
components/ui/accordion.tsx,not imported or referenced by text search,low
components/ui/alert-dialog.tsx,not imported or referenced by text search,low
components/ui/alert.tsx,not imported or referenced by text search,low
components/ui/aspect-ratio.tsx,not imported or referenced by text search,low
components/ui/avatar.tsx,not imported or referenced by text search,low
components/ui/badge.tsx,not imported or referenced by text search,low
components/ui/breadcrumb.tsx,not imported or referenced by text search,low
components/ui/button.tsx,not imported or referenced by text search,low
components/ui/calendar.tsx,not imported or referenced by text search,low
components/ui/card.tsx,not imported or referenced by text search,low
components/ui/carousel.tsx,not imported or referenced by text search,low
components/ui/chart.tsx,not imported or referenced by text search,low
components/ui/checkbox.tsx,not imported or referenced by text search,low
components/ui/collapsible.tsx,not imported or referenced by text search,low
components/ui/command.tsx,not imported or referenced by text search,low
components/ui/context-menu.tsx,not imported or referenced by text search,low
components/ui/dialog.tsx,not imported or referenced by text search,low
components/ui/drawer.tsx,not imported or referenced by text search,low
components/ui/dropdown-menu.tsx,not imported or referenced by text search,low
components/ui/form.tsx,not imported or referenced by text search,low
components/ui/hover-card.tsx,not imported or referenced by text search,low
components/ui/input.tsx,not imported or referenced by text search,low
components/ui/label.tsx,not imported or referenced by text search,low
components/ui/menubar.tsx,not imported or referenced by text search,low
components/ui/navigation-menu.tsx,not imported or referenced by text search,low
components/ui/pagination.tsx,not imported or referenced by text search,low
components/ui/popover.tsx,not imported or referenced by text search,low
components/ui/progress.tsx,not imported or referenced by text search,low
components/ui/radio-group.tsx,not imported or referenced by text search,low
components/ui/resizable.tsx,not imported or referenced by text search,low
components/ui/scroll-area.tsx,not imported or referenced by text search,low
components/ui/select.tsx,not imported or referenced by text search,low
components/ui/separator.tsx,not imported or referenced by text search,low
components/ui/sheet.tsx,not imported or referenced by text search,low
components/ui/sidebar.tsx,not imported or referenced by text search,low
components/ui/skeleton.tsx,not imported or referenced by text search,low
components/ui/slider.tsx,not imported or referenced by text search,low
components/ui/switch.tsx,not imported or referenced by text search,low
components/ui/table.tsx,not imported or referenced by text search,low
components/ui/tabs.tsx,not imported or referenced by text search,low
components/ui/textarea.tsx,not imported or referenced by text search,low
components/ui/toast.tsx,not imported or referenced by text search,low
components/ui/toaster.tsx,not imported or referenced by text search,low
components/ui/toggle-group.tsx,not imported or referenced by text search,low
components/ui/toggle.tsx,not imported or referenced by text search,low
components/ui/tooltip.tsx,not imported or referenced by text search,low
components/ui/use-mobile.tsx,not imported or referenced by text search,low
components/ui/use-toast.ts,not imported or referenced by text search,low